project_id,name,description,n_emails,representative_emails
P000,Ken Lay Donation Appeal,Advocates urge Ken Lay to donate his Enron stock sale profits to employee transition and California consumer relief funds.,1145,"[""a482f71b99827fd5"", ""d22d0881212136cc"", ""437d4099db3cf882"", ""ae8c7f8169de6c41"", ""76bd6e2b911601d5""]"
P001,Columbia Capacity Reduction,"This project tracks Enron's requests to reduce pipeline capacity on Columbia Gas Transmission, documenting nominated, working, and confirmed quantities across arrangement IDs and effective dates.",68,"[""47cb4b785ba55b18"", ""6aa4daedce39bdb7"", ""ae7467e33e5bb92f"", ""b117cd2680e0404f"", ""409e032cd9c2457a""]"
P002,NG Price P/L,A system to publish periodic natural gas price and profit/loss reports on Enron's internal website.,61,"[""9b5585477d7eb2ed"", ""1d6483b31f61dc58"", ""731f08fb93a96a50"", ""3ef9c783ba741e4c"", ""a1291b533a7e6cc8""]"
P003,Match.com Email Analysis,The project analyzes Match.com promotional emails in the Enron dataset to understand marketing strategies and spam trends.,150,"[""fa2288ee5db38ce1"", ""724d11bef96d60d0"", ""60cb36d742ad0888"", ""6c7b742c6c938ed6"", ""7ffdee0c8610d4a2""]"
P004,Yahoo Breaking News,"A set of Yahoo! Breaking News alerts that inform recipients of various breaking stories across topics such as crime, politics, business, and economics.",58,"[""a4c484d2d1d63a23"", ""0178a1e20914dd0a"", ""fc9781fd35fc0034"", ""1477de97f94b5921"", ""cceb742c159925b0""]"
P005,NG P/L Report,This project publishes daily notifications that the natural gas property profit and loss report is available on the corporate website.,67,"[""37c898b87506a43e"", ""74b6da1e42932954"", ""dd38a9d09f569e26"", ""6e6b8cb1b618e154"", ""5c7a0732a5ec277d""]"
P006,INO.com Market Alerts,"A daily and weekly newsletter providing market summaries, trading insights, and technical analysis updates from INO.com and Joe DiNapoli.",105,"[""ccb270b5adff819f"", ""b6f1b71a84a1b9d9"", ""f7acb630bd353d0e"", ""e388acb51ce6b30b"", ""7b6ff448f2b5c041""]"
P007,Transwestern Shipper Development,The project focuses on acquiring new shippers for the Transwestern pipeline by obtaining customer lists from Koch and establishing term sheets for incremental capacity.,113,"[""208d34ae36866a59"", ""d03bfefd93ec50bb"", ""cc1076520f96b3f4"", ""01e1eac105244dc0"", ""c8437bff2651c7a8""]"
P008,Mailbox Size Alerts,Automated notifications informing users that their mailbox is approaching the maximum storage limit.,54,"[""badf9f60af45f3af"", ""8848d4df217dbbbf"", ""9db0c313df1378e0"", ""444b7e48aec178e3"", ""2c215228ae9e4a5e""]"
P009,Mailbox Size Alerts,The project monitors mailbox sizes and sends automatic warnings when they approach the size limit.,84,"[""966490f9ae141049"", ""b8d7942e205049a5"", ""08357fefb55b05bd"", ""f5ebac61360def08"", ""a60e2b8da07a9b35""]"
P010,Transmission Reservation Tracking,"Tracks the receipt of transmission service reservation requests for a firm, off-peak, hourly point-to-point contract between Four Corners and PNM.",181,"[""0133b2c443712aa4"", ""16e0b937226ccc6d"", ""5abf353f32363b20"", ""544e2de79a38ce02"", ""5eef4314e3443bca""]"
P011,ERV Report Notifications,Automated notifications of Enron's internal ERV website publishing monthly Schedule C and violation/notification memos.,103,"[""672c37fa9384c0a5"", ""9f99397b495190e6"", ""f8381b0bbe8fcfc3"", ""6f9742b5db0a8be9"", ""afafb5ed98d8c8c3""]"
P012,Fantasy Football Reports,Automated email reports sent to fantasy football league commissioners with league updates and promotional content.,117,"[""6459ab63132fc864"", ""f105dcbaccb0cc31"", ""94e521abbd1f9875"", ""d864d7d131665073"", ""6283025a1b2d50b9""]"
P013,Mailbox Sync Logs,"The project captures and records synchronization logs for multiple mailboxes, detailing folder and item changes in offline stores.",82,"[""6336cacd3ac9567e"", ""ecbb54810c31b076"", ""69d32544c55554a3"", ""a2b7eb28eab7978b"", ""ad984631e1a755c2""]"
P014,Forex Trading Previews,"A daily email series delivering forex trading previews and analysis for US and Japanese markets, including currency pair levels and interest rates.",113,"[""d7fe6282018c4ccf"", ""427f5c4dcb83eb77"", ""73f88c3cfc5607e3"", ""993b901aea6bfbc3"", ""291fa77c6f480118""]"
P015,1000 Report,The project involves producing and distributing regular 1000 status reports as Excel attachments.,79,"[""1ef520c6f2fe093b"", ""1f46bfe05b3ae7ee"", ""035f0c058dea3dd3"", ""11e1262880b4f6ec"", ""3caef1b9b0e661ac""]"
P016,Membership Administration,"The project monitors and announces changes in member status, guarantees, and transfer intentions for the Commodity Exchange.",129,"[""a775cece1ffe577e"", ""f9d983d8b4b7a6ea"", ""24be0b9d23cf28d9"", ""06bf25cc369ca602"", ""755c4a0329427b03""]"
P017,Btu Weekly Report,Manages the receipt and internal forwarding of Btu's weekly power report emails.,69,"[""26ad8001d0d500b7"", ""48b7011b1dcf40a2"", ""967ca99803365129"", ""3a2960ec515956a2"", ""e07f636262e39255""]"
P018,CQG Platform Management,"Managing user access, support, and software upgrades for Enron's CQG trading platform.",56,"[""1f9c495bb7dda098"", ""251daf3cb71e50aa"", ""270f68abd159c3d1"", ""66fbdd9a227612ce"", ""87ec85cd1beccd7a""]"
P019,Credit Watch Distribution,The project manages the regular distribution of updated Credit Watch lists to relevant internal personnel.,111,"[""d9b84ca0c0e5525f"", ""7ba7943dd3586573"", ""16bc2a47d84daf46"", ""6ef87d259f3f6011"", ""a3dd5059e4633389""]"
