topic_id,name,description,n_emails,representative_emails
T000,Past Due Invoice,Automated messages urging employees to resolve overdue invoices in the iBuyit Payables system.,11,"[""7d0069eedb51b745"", ""5c2aff761ef647df"", ""24d9b1ac7d2a6d00"", ""90a4d664766cc82a"", ""8ed01fbb2a0c0586""]"
T001,ATOM Processing Schedule,"Monthly NYMEX/COMEX ATOM system processing schedule notices outlining key dates for preliminary reports, adjustment deadlines, final reports, and brokerage debits.",15,"[""2c6682c86e9ca69f"", ""e0914830e07c7605"", ""654d96b75487a1cf"", ""eb84dcc54e90bb6e"", ""84e8f69cdbab94ed""]"
T002,Enron Columbia Reductions,"The emails record adjustments to nominated, working, and confirmed capacity quantities for Enron's Columbia pipeline, including reductions and reallocations.",18,"[""8f174d1357f417ed"", ""9f63e1d5b451bd2b"", ""337cb690adcc42cd"", ""159ddcd0a18160dc"", ""aa5bb5f9c145daaa""]"
T003,Columbia Reduction,Emails track scheduled capacity reductions and nomination quantities for Columbia pipeline deliveries to Enron.,23,"[""bd62c2d198dc6f82"", ""5e5d3bf2ac61676b"", ""9490c6f20da19ac0"", ""21d49df78c28afef"", ""233271b80f1b3356""]"
T004,Columbia Capacity Reduction,"Emails track capacity nominations, allocations, and confirmed quantities for Columbia pipeline reductions at Enron.",27,"[""84c3fc8187d5f3fe"", ""6aa4daedce39bdb7"", ""409e032cd9c2457a"", ""ae7467e33e5bb92f"", ""918e29fb092af658""]"
T005,Notes to Outlook Migration,"This topic covers instructions and communications regarding the migration from Lotus Notes to Microsoft Outlook, including the use of Outlook Web Access (OWA) as a temporary web-based email interface during the transition.",12,"[""fe30b34f8a49747f"", ""b675f99387810dfa"", ""55a2338741254bdb"", ""b4945fedca3a4e8e"", ""ba4883f401ca63d4""]"
T006,OWA Migration,Provides guidance on using Outlook Web Access (OWA) while migrating from Notes to Outlook.,17,"[""af057937c255fd4e"", ""0fead53799f30e2c"", ""0da6917af947e8b7"", ""906428ad25e1023f"", ""994bdb2daa731025""]"
T007,Spreads Transaction Reports,"Daily internal reports detailing spread transaction counts across aluminum, copper, gas, and zinc.",20,"[""7457829f09945325"", ""3f193ae1042029df"", ""613551dcb037ce79"", ""d8c36f1c38effaf9"", ""ad6a22480f8f35cb""]"
T008,Vermont Yankee Notifications,Operational notifications from Vermont Yankee nuclear power plant regarding plant events and maintenance sent to regional utility companies.,21,"[""0f7f05224bf012e7"", ""4dc30979352150bf"", ""e254ef933591ea46"", ""9bac5241a726b610"", ""c30bdae9eaed5625""]"
T009,Palm Registration Reminder,"Emails urging users to register their Palm Computing organizers to obtain free software, technical support, and updates.",12,"[""aac8a97b499d4189"", ""493267bc83777100"", ""a9accf15735d1ee7"", ""3ae93c40f5a943a4"", ""799dd96a8bd28611""]"
T010,Cop Shock Video,Enron employees forward a humorous video clip titled 'FingerPig.avi' (subject 'cop shock') to each other.,12,"[""31b1e32720db98b4"", ""8b0cb85fc4e385ff"", ""67ac14a9f2163470"", ""c0fa453e42979e50"", ""5fd8b2c5435576da""]"
T011,Ken Lay Donation Appeal,Public urging for Ken Lay to donate his Enron stock sale profits to employee transition and California consumer relief funds.,22,"[""4e4e0b6912e2ae09"", ""1766512cc42bf651"", ""4435bd1204fdf76c"", ""5d8f516bfb469d3c"", ""d9d3d0fbbea9eb9b""]"
